,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
422,The Girl on the Train,2016,"Crime, Drama, Mystery",6.5,48,148219,936662225
423,Coraline,2009,"Animation, Drama, Fantasy",7.7,80,176927,936662225
424,Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",6.4,65,222184,936662225
425,Jack and Jill,2011,Comedy,3.3,23,70531,936662225
426,Captain Underpants: The First Epic Movie,2017,"Animation, Action, Comedy",6.2,69,21443,936662225
427,Hugo,2011,"Adventure, Drama, Family",7.5,83,282854,936662225
428,Law Abiding Citizen,2009,"Crime, Drama, Thriller",7.4,34,250337,936662225
429,Boo! A Madea Halloween,2016,"Comedy, Drama, Horror",4.6,30,6751,936662225
430,White House Down,2013,"Action, Drama, Thriller",6.4,52,190112,936662225
431,John Carter,2012,"Action, Adventure, Sci-Fi",6.6,51,237415,936662225
432,Hotel for Dogs,2009,"Comedy, Family",5.4,51,19551,936662225
433,Dinner for Schmucks,2010,Comedy,5.9,56,90679,936662225
434,Hercules,2014,"Action, Adventure, Fantasy",6,47,136313,936662225
435,Storks,2016,"Animation, Adventure, Comedy",6.8,56,49668,936662225
436,Bridge of Spies,2015,"Drama, History, Thriller",7.6,81,260129,936662225
437,Dolphin Tale,2011,"Drama, Family",6.9,64,20542,936662225
438,A Bad Moms Christmas,2017,"Adventure, Comedy",5.5,42,32072,936662225
439,The Purge: Anarchy,2014,"Action, Horror, Sci-Fi",6.5,50,124830,936662225
440,10 Cloverfield Lane,2016,"Drama, Horror, Mystery",7.2,76,256869,936662225
441,Mama,2013,"Horror, Thriller",6.2,57,157267,936662225
442,"I Love You, Man",2009,"Comedy, Romance",7,70,184558,936662225
443,Safe Haven,2013,"Drama, Romance, Thriller",6.7,34,95953,936662225
444,Paul Blart: Mall Cop 2,2015,"Action, Comedy, Crime",4.4,13,30414,936662225
445,The Smurfs 2,2013,"Animation, Adventure, Comedy",5.4,34,33800,936662225
446,No Strings Attached,2011,"Comedy, Romance",6.2,50,196009,936662225
447,The Best Man Holiday,2013,"Comedy, Drama",6.7,59,13893,936662225
448,The Big Short,2015,"Biography, Comedy, Drama",7.8,81,303932,936662225
449,Act of Valor,2012,"Action, Adventure, Drama",6.5,40,63540,936662225
450,The First Purge,2018,"Action, Horror, Sci-Fi",5.1,54,38356,936662225
451,Game Night,2018,"Action, Comedy, Crime",7,66,154898,936662225
452,Book Club,2018,"Comedy, Drama, Romance",6.1,53,17004,936662225
453,Percy Jackson: Sea of Monsters,2013,"Adventure, Family, Fantasy",5.8,39,101416,936662225
454,The House with a Clock in Its Walls,2018,"Comedy, Family, Fantasy",6.1,57,29995,936662225
455,Obsessed,2009,"Drama, Romance, Thriller",4.9,25,26653,936662225
